benchmark,basic-only-intraproc (s),stddev,CI-intraproc (s),stddev,CIPP-intraproc (s),stddev,1-object-sens-intraproc (s),stddev,basic-only-interproc (s),stddev,CI-interproc (s),stddev,CIPP-interproc (s),stddev,1-object-sens-interproc (s),stddev
bootique,21.26,1.73,19.93,1.85,19.51,1.74,N/A,N/A,26.44,1.73,24.90,0.69,25.50,1.69,N/A,N/A
commons-collections4,15.39,1.39,14.20,1.36,14.48,0.97,13.39,1.08,17.80,1.42,16.64,1.06,16.82,0.79,15.61,1.60
flink-core,29.87,2.29,27.21,3.34,27.78,4.54,21.17,0.49,68.26,1.98,62.12,3.99,63.94,5.64,54.11,0.32
jsonschema2pojo,31.72,1.44,29.33,2.33,30.72,3.52,29.35,3.69,39.76,2.33,41.05,2.90,35.37,1.96,37.29,4.55
maven-core,20.40,0.97,19.49,1.80,16.09,1.61,15.72,1.09,26.41,1.60,23.42,1.98,22.16,1.82,19.62,1.75
microbenchmark,13.20,0.76,11.73,0.73,11.61,0.59,12.23,1.15,13.76,1.03,12.92,0.95,13.02,1.18,12.30,1.53
mybatis,83.29,5.57,59.83,4.07,59.76,0.59,N/A,N/A,113.38,4.57,192.16,23.36,181.92,4.01,N/A,N/A
quartz-core,21.95,2.28,21.06,2.08,18.88,2.84,17.22,1.91,23.49,2.42,21.92,1.84,21.97,1.78,19.80,2.75
vraptor,49.27,2.59,34.96,0.79,36.49,1.82,N/A,N/A,70.92,2.85,149.38,5.73,148.35,2.62,N/A,N/A
Average,31.82,2.51,26.41,2.29,26.15,2.40,N/A,N/A,44.47,2.42,60.50,8.25,58.78,2.79,N/A,N/A
